"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"DVP","DEVELOP GLOBAL LIMITED","2007-04-27","Materials",405951800
"DVR","DIVERGER LIMITED","2005-08-02","Diversified Financials",37612804
"DW8","DW8 LIMITED","2001-04-04","Retailing",66125953
"DXB","DIMERIX LIMITED","1993-02-04","Pharmaceuticals, Biotechnology & Life Sciences",46526682
"DXC","DEXUS CONVENIENCE RETAIL REIT","2017-07-27","Real Estate",434918464
"DXI","DEXUS INDUSTRIA REIT.","2013-12-03","Real Estate",987833023
"DXN","DXN LIMITED","2018-04-11","Software & Services",9563546
"DXS","DEXUS","2004-10-06","Real Estate",11293435083
"DYL","DEEP YELLOW LIMITED","1985-12-19","Energy",269102753
"E25","ELEMENT 25 LIMITED","2006-11-09","Materials",103843051
"E2E","EON NRG LIMITED","2011-01-21","Energy","N/A"
"E2M","E2 METALS LIMITED","2017-04-19","Materials",33852495
"E33","EAST 33 LIMITED..","2021-07-29","Food, Beverage & Tobacco",17214420
"E79","E79 GOLD MINES LIMITED","2021-10-07","Materials",10086598
"EAI","ELLERSTON ASIAN INVESTMENTS LIMITED","2015-09-15","Not Applic",104660136
"EAX","ENERGY ACTION LIMITED","2011-10-13","Commercial & Professional Services",4588062
"EBG","EUMUNDI GROUP LIMITED","1989-12-07","Consumer Services",45476826
"EBO","EBOS GROUP LIMITED","2013-12-06","Health Care Equipment & Services",6824864058
"EBR","EBR SYSTEMS INC.","2021-11-24","Health Care Equipment & Services",113115197
"ECF","ELANOR COMMERCIAL PROPERTY FUND","2019-12-06","Real Estate",330801389
"ECG","ECARGO HOLDINGS LIMITED","2014-11-28","Commercial & Professional Services",9228750
"ECL","EXCELSIOR CAPITAL LTD","1993-04-22","Capital Goods",45811261
"ECP","ECP EMERGING GROWTH LIMITED","2014-08-14","Not Applic",21181647
"ECS","ECS BOTANICS HOLDINGS LTD","1986-03-13","Pharmaceuticals, Biotechnology & Life Sciences",23794709
"ECT","ENVIRONMENTAL CLEAN TECHNOLOGIES LIMITED.","1986-02-05","Commercial & Professional Services",34325034
"ECX","ECLIPX GROUP LIMITED","2015-04-22","Diversified Financials",729725406
"EDC","EILDON CAPITAL GROUP","2017-02-28","Diversified Financials",46258770
"EDE","EDEN INNOVATIONS LTD","2006-06-06","Energy",25477184
"EDU","EDU HOLDINGS LIMITED","2004-06-25","Consumer Services",16452023
